Quality,Qualityid,GroupName,hsn,rate,width,Uom,pid
SHAMBHAVI,90,,,1,,Mtr,90
SHREYA SILVER,91,Jacquard,,1,,Mtr,91
GREY FABRICS,92,Grey All,5407,1,3,Mtr,92
SILVER LUREX,93,Jacquard,,1,,Mtr,93
GLITER,94,Jacquard,540822,0,3,Mtr,94
BRIGHT JAQUARD,95,Jacquard,,1,,Mtr,95
PC PLAIN,96,,,1,,Mtr,96
SJT 2X1,97,Chiffon,5208,0,,Mtr,97
ANTEEK ZARI,98,Jacquard,,1,,Mtr,98
COTTON JAQUARD,99,,,1,,Mtr,99
DD,100,Semi Jacquard,,1,,Mtr,100
JACQUARD,101,Jacquard,,1,,Mtr,101
JAQUARD GOLD,102,Jacquard,,1,,Mtr,102
MAJESTY BLACK GOLD,103,Jacquard,,1,,Mtr,103
JAQUARD COTTON,104,Jacquard,,1,,Mtr,104
SRIRAM BUTTY ZARI,105,Butta,,1,,Mtr,105
KASAB ZARI JAQUARD,106,Jacquard,,1,,Mtr,106
LUREX JAQUARD,107,Jacquard,,1,,Mtr,107
SHALIMAR GOLD,108,Jacquard,,1,,Mtr,108
SHRINGAR COMMON WHITE,109,Jacquard,,1,,Mtr,109
BLACK JAQUARD,110,Jacquard,,1,,Mtr,110
SHIMMER BLACK,111,Jacquard,,1,,Mtr,111
MONARCH CHIKU BLACK,112,Jacquard,,1,,Mtr,112
MAJESTY CHIKU BLACK,113,Jacquard,,1,,Mtr,113
MADHAVI,114,Fancy,521031,61,2,Mtr,114
SHRISTI,115,Jacquard,,1,,Mtr,115
ZARA MONO,116,Jacquard,,1,,Mtr,116
SHRINGAR COMMON BLACK,117,Jacquard,,1,,Mtr,117
AMBALIKA ANTIQUE,118,Jacquard,,1,,Mtr,118
AMBALIKA COMMON BLACK,119,Jacquard,,1,,Mtr,119
SINGAL JAQUARD,120,Jacquard,,1,,Mtr,120
SHRINGAR WHITE,121,Jacquard,,1,,Mtr,121
SALONI SILVER,122,Jacquard,,1,,Mtr,122
MADHURA SILVER,123,Jacquard,,1,,Mtr,123
KAREENA JACQUARD,124,Fancy,,1,,Mtr,124
AMBALIKA BLACK GOLD,125,Jacquard,,1,,Mtr,125
SHRINGAR BLACK,126,Jacquard,,1,,Mtr,126
MONARCH DARK CHIKU,127,Jacquard,,1,,Mtr,127
MONARCH FOWN,128,Jacquard,,1,,Mtr,128
SHRINGAR CROSS,129,Jacquard,,1,,Mtr,129
SHALIMAR MEENA,130,Jacquard,,1,,Mtr,130
MAJESTY WHITE GOLD,131,Jacquard,,1,,Mtr,131
SHALIMAR COMMON WHITE,132,Jacquard,,1,,Mtr,132
FENT,133,Jacquard,551611,1,3,Mtr,133
SAMEERA,134,Fancy,521031,80,4,Mtr,134
MONALIKA,135,Jacquard,,1,,Mtr,135
MAJESTY BLACK,136,Jacquard,,1,,Mtr,136
